symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
GME,250000000,fixed_20,partial_mint_failure,1513,True,True,True,True,True,True,,False,3243313000,164809000,19985000,1056886412,145881105,4902609
GME,250000000,fixed_40,partial_mint_failure,637,True,True,True,True,True,True,,False,3671313000,167941000,14714000,886086966,124286779,5853244
GME,250000000,fixed_80,partial_mint_failure,231,True,True,True,True,True,True,,False,3873591000,96640000,6461000,649342216,73602892,2084877
GME,250000000,fixed_160,partial_mint_failure,73,True,True,True,True,True,True,,False,3925552000,49702000,3369000,283821777,12337064,574218
GME,250000000,adaptive_width,partial_mint_failure,653,True,True,True,True,True,True,,False,3604670000,77390000,0,672317100,87191399,0
GME,250000000,adaptive_economic,partial_mint_failure,142,True,True,True,True,True,True,,False,368172000,12135000,0,202365471,28157593,0
GOOGL,5000000000,fixed_20,pinned_fork_costs,624,True,True,True,True,True,True,,False,2595216000,2420024000,1575577000,3157443826,2634932316,624704215
GOOGL,5000000000,fixed_40,pinned_fork_costs,184,True,True,True,True,True,True,,False,2975794000,2205306000,1899644000,2340132518,1398111777,478437266
GOOGL,5000000000,fixed_80,pinned_fork_costs,35,True,True,True,True,True,True,,False,1606044000,669086000,297756000,1411806896,674563506,63391401
GOOGL,5000000000,fixed_160,pinned_fork_costs,7,True,True,True,True,True,True,,False,1848625000,866809000,346009000,792054109,371199437,21284674
GOOGL,5000000000,adaptive_width,pinned_fork_costs,82,True,True,True,True,True,True,,False,1349712000,794109000,83688000,1595554746,1215276112,7302951
GOOGL,5000000000,adaptive_economic,pinned_fork_costs,37,True,True,True,True,True,True,,False,494473000,403427000,118736000,1127358296,862019419,157614525
GOOGL,5000000000,fixed_20,double_gas_half_fees,624,True,True,True,True,True,True,,False,2595216000,2347569000,1571090000,1352705952,1092765814,294716859
GOOGL,5000000000,fixed_40,double_gas_half_fees,184,True,True,True,True,True,True,,False,2975794000,2142397000,1888145000,1057911115,584580062,227378009
GOOGL,5000000000,fixed_80,double_gas_half_fees,35,True,True,True,True,True,True,,False,1606044000,665665000,297756000,666354817,323771426,31528178
GOOGL,5000000000,fixed_160,double_gas_half_fees,7,True,True,True,True,True,True,,False,1848625000,865872000,346009000,385111635,183554906,10636006
GOOGL,5000000000,adaptive_width,double_gas_half_fees,22,True,True,True,True,True,True,,False,1354461000,385725000,84246000,499363130,210825592,3811787
GOOGL,5000000000,adaptive_economic,double_gas_half_fees,8,True,True,True,True,True,True,,False,536286000,265303000,97329000,235580172,170529815,17224240
GOOGL,5000000000,fixed_20,partial_mint_failure,610,True,True,True,True,True,True,,False,2373034000,2216481000,1425943000,2533061102,2084954681,439434214
GOOGL,5000000000,fixed_40,partial_mint_failure,201,True,True,True,True,True,True,,False,2892622000,2130679000,1835060000,2266982868,1344822999,441379435
GOOGL,5000000000,fixed_80,partial_mint_failure,45,True,True,True,True,True,True,,False,1599292000,665672000,296933000,1394886250,664560043,62023788
GOOGL,5000000000,fixed_160,partial_mint_failure,8,True,True,True,True,True,True,,False,1847652000,866809000,346009000,791340996,371199437,21284674
GOOGL,5000000000,adaptive_width,partial_mint_failure,100,True,True,True,True,True,True,,False,1325142000,756195000,81683000,1658174202,1266363966,4541137
GOOGL,5000000000,adaptive_economic,partial_mint_failure,38,True,True,True,True,True,True,,False,684867000,589360000,90172000,1300075515,1042103301,66188240
GOOGL,1000000000,fixed_20,pinned_fork_costs,703,True,True,True,True,True,True,,False,2892491000,1943092000,1180759000,1037123238,420798226,53189007
GOOGL,1000000000,fixed_40,pinned_fork_costs,211,True,True,True,True,True,True,,False,3101320000,2115022000,1009449000,708655430,330731790,32555235
GOOGL,1000000000,fixed_80,pinned_fork_costs,53,True,True,True,True,True,True,,False,3151405000,2093647000,788900000,401125304,166942772,19735635
GOOGL,1000000000,fixed_160,pinned_fork_costs,14,True,True,True,True,True,True,,False,2765751000,1430646000,138739000,196688130,32853386,1726632
GOOGL,1000000000,adaptive_width,pinned_fork_costs,185,True,True,True,True,True,True,,False,1574184000,478122000,11898000,685208517,200284018,1861530
GOOGL,1000000000,adaptive_economic,pinned_fork_costs,20,True,True,True,True,True,True,,False,1305725000,319130000,9599000,224541775,89349860,121516
GOOGL,1000000000,fixed_20,double_gas_half_fees,704,True,True,True,True,True,True,,False,2892601000,1927716000,1160083000,400805478,182006827,23808078
GOOGL,1000000000,fixed_40,double_gas_half_fees,211,True,True,True,True,True,True,,False,3101320000,2112226000,1009449000,302204754,151879565,16171417
GOOGL,1000000000,fixed_80,double_gas_half_fees,53,True,True,True,True,True,True,,False,3151405000,2076737000,766150000,183649948,76042549,9633475
GOOGL,1000000000,fixed_160,double_gas_half_fees,14,True,True,True,True,True,True,,False,2765751000,1430646000,138739000,94251945,16280032,862448
